participant_name,source_type,age,gender,student_status,region,platform_sessions_per_day,messages_sent_per_day,in_person_conversations_per_week,shared_meals_or_social_events_per_week,group_activities_per_month,trusted_contacts_count,sleep_hours,self_reported_stress_0_100,lq1,lq2,lq3,lq4,lq5,lq6,lq7,sci1,sci2,sci3,sci4,sci5,sci6,delay_immediate_choice_1,delay_immediate_choice_2,delay_immediate_choice_3,delay_immediate_choice_4,delay_immediate_choice_5,delay_immediate_choice_6,spend1,spend2,spend3,spend4,spend5,risk_choice_1,risk_choice_2,risk_choice_3,risk_choice_4,risk_choice_5,conflict_defense_1,conflict_defense_2,conflict_defense_3,conflict_defense_4,conflict_defense_5,loneliness_score,social_connection_score,immediate_reward_bias,impulsive_spending_score,high_risk_choice_score,conflict_defense_score,risk_decision_index,loneliness_group,top_quartile_risk,decision_type,created_at,data_note
Ethan Taylor,synthetic_pilot,19,Female,Gap year,Europe,1,13,5,3,1,1,5.6,38.8,3,3,2,5,3,4,2,2,1,2,3,2,3,1,1,0,0,0,1,4,4,5,4,3,0,0,1,0,1,3,3,4,3,3,53.6,29.2,50.0,75.0,40.0,55.0,54.5,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Clara Turner,synthetic_pilot,23,Female,Undergraduate,Europe,8,0,5,0,0,0,6.7,55.2,3,5,5,5,5,3,4,1,1,1,2,1,2,0,1,1,1,1,0,4,5,4,4,4,1,1,0,0,0,5,5,5,5,5,82.1,8.3,66.7,80.0,40.0,100.0,68.3,High loneliness,1,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ruby Reed,synthetic_pilot,20,Female,Gap year,North America,6,36,26,8,5,6,6.7,29.7,3,2,2,2,2,1,2,5,4,5,5,5,5,1,0,0,0,0,0,3,3,4,2,5,0,0,1,0,0,2,1,3,3,3,25.0,95.8,16.7,60.0,20.0,35.0,31.1,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Eli Park,synthetic_pilot,17,Male,High school,North America,14,7,16,7,4,3,7.4,51.3,2,2,2,1,2,2,2,5,5,5,5,5,4,0,0,0,0,0,0,3,2,2,2,2,0,1,0,0,0,2,2,2,2,3,21.4,95.8,0.0,30.0,20.0,30.0,17.0,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ethan Wilson,synthetic_pilot,19,Female,High school,East Asia,4,20,14,5,3,2,6.5,43.4,4,2,3,4,2,3,3,5,5,4,3,5,4,1,0,0,0,1,1,5,4,2,3,5,1,1,0,1,0,3,2,2,4,2,50.0,83.3,50.0,70.0,60.0,40.0,56.0,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ava Kim,synthetic_pilot,16,Male,Undergraduate,Europe,9,7,4,1,1,0,5.5,61.2,4,4,5,4,4,4,4,2,3,3,2,1,2,1,0,1,0,1,1,4,5,5,3,4,1,1,1,1,0,5,5,5,5,5,78.6,29.2,66.7,80.0,80.0,100.0,78.3,High loneliness,1,Risk-seeking chooser,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Noah Evans,synthetic_pilot,21,Female,Undergraduate,North America,12,30,1,0,3,0,5.4,74.4,4,5,5,5,5,5,5,3,2,2,4,4,1,1,1,1,0,1,1,3,5,5,5,4,1,0,0,1,1,5,5,4,5,5,96.4,41.7,83.3,85.0,60.0,95.0,79.7,High loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Vivian Collins,synthetic_pilot,16,Male,Undergraduate,North America,4,22,13,4,3,4,7.9,0.0,1,1,1,1,1,1,1,4,5,5,5,4,5,1,0,0,0,0,1,1,1,1,2,1,1,0,1,0,1,1,1,1,1,1,0.0,91.7,33.3,5.0,60.0,0.0,27.9,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Iris Brooks,synthetic_pilot,21,Nonbinary/Other,Gap year,East Asia,13,14,10,4,1,1,6.5,67.4,5,5,5,4,5,4,4,3,2,4,3,1,3,0,0,0,1,0,0,5,3,4,4,4,0,1,0,1,0,4,4,3,4,5,89.3,41.7,16.7,75.0,40.0,75.0,45.8,High loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ella Foster,synthetic_pilot,20,Female,Undergraduate,North America,11,13,8,2,4,2,7.2,71.9,4,4,5,4,4,4,4,3,2,2,2,3,3,1,0,1,0,1,1,3,4,3,3,5,1,0,0,1,0,4,5,5,5,4,78.6,37.5,66.7,65.0,40.0,90.0,63.1,High loneliness,1,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Noah Young,synthetic_pilot,21,Female,High school,Europe,3,42,18,4,4,3,7.4,18.3,2,1,1,1,1,2,1,5,4,5,5,4,4,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,1,3,3,2,4,2,7.1,87.5,0.0,5.0,20.0,45.0,13.0,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
